,testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput,diff,size_p,isEmpty_p,peek_p,peek_obj_type_p,calledMethod_p,pushInput_p
6093,1597060821530:bfdeff51-fe15-427a-8c09-b403a446e970,1597060821530:04a4d7e8-f3a0-4d5b-a2ca-513ff7714f4c,2,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
6094,1597060821530:bfdeff51-fe15-427a-8c09-b403a446e970,1597060821530:04a4d7e8-f3a0-4d5b-a2ca-513ff7714f4c,3,False,0.0,class java.lang.Float,push,class java.lang.Float,Yes,2,True,EmptyObject,class java.lang.String,push,class java.lang.String
6095,1597060821530:bfdeff51-fe15-427a-8c09-b403a446e970,1597060821530:04a4d7e8-f3a0-4d5b-a2ca-513ff7714f4c,0,True,EmptyObject,EmptyObject,clear,none,No,3,False,0.0,class java.lang.Float,push,class java.lang.Float
6096,1597060821530:bfdeff51-fe15-427a-8c09-b403a446e970,1597060821530:04a4d7e8-f3a0-4d5b-a2ca-513ff7714f4c,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,clear,none
6098,1597060821530:a2f8b143-b357-4dc4-a441-5c75d622e940,1597060821531:11687b31-34ef-4e10-a676-12381985e92d,2,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
6099,1597060821530:a2f8b143-b357-4dc4-a441-5c75d622e940,1597060821531:11687b31-34ef-4e10-a676-12381985e92d,2,True,EmptyObject,class java.lang.String,pop,none,Yes,2,True,EmptyObject,class java.lang.String,push,class java.lang.String
6101,1597060821530:a2f8b143-b357-4dc4-a441-5c75d622e940,1597060821530:61acf032-4952-46fe-8590-7cade99c52f2,2,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
6103,1597060821530:20be1ad9-8c2d-40dc-9e75-dcd56884e139,1597060821530:ae65e96e-0d19-4cfc-9a6b-60ee5f123c87,2,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
6104,1597060821530:20be1ad9-8c2d-40dc-9e75-dcd56884e139,1597060821530:ae65e96e-0d19-4cfc-9a6b-60ee5f123c87,2,True,EmptyObject,class java.lang.String,pop,none,Yes,2,True,EmptyObject,class java.lang.String,push,class java.lang.String
6106,1597060821530:20be1ad9-8c2d-40dc-9e75-dcd56884e139,1597060821530:76b361c5-d36a-40af-b9e3-9bffe343b3ca,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
6107,1597060821530:20be1ad9-8c2d-40dc-9e75-dcd56884e139,1597060821530:76b361c5-d36a-40af-b9e3-9bffe343b3ca,2,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,clear,none
6108,1597060821530:20be1ad9-8c2d-40dc-9e75-dcd56884e139,1597060821530:76b361c5-d36a-40af-b9e3-9bffe343b3ca,0,True,EmptyObject,EmptyObject,clear,none,No,2,True,EmptyObject,class java.lang.String,push,class java.lang.String
6110,1597060821530:19d55ad2-e85a-49d0-b9ba-735f732772ba,1597060821530:79b83051-43dd-45d4-95a2-fd49a9819be8,2,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
6111,1597060821530:19d55ad2-e85a-49d0-b9ba-735f732772ba,1597060821530:79b83051-43dd-45d4-95a2-fd49a9819be8,2,True,EmptyObject,class java.lang.String,pop,none,Yes,2,True,EmptyObject,class java.lang.String,push,class java.lang.String
