,size,isEmpty,peek_obj_type,calledMethod,pushInput,size_p,isEmpty_p,peek_obj_type_p,calledMethod_p,pushInput_p,diff,testId,instanceId
5564,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","pushInput == ""class experiment.drivers.AlejaStackTestDriver""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Integer""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Integer""",No,1596542058006:4537ba15-4f5f-4db4-879a-dfa00436a7e8,1596542058006:5a37b9c0-a914-4d8f-b314-b6f92d209103
5565,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""","pushInput_p == ""class experiment.drivers.AlejaStackTestDriver""",No,1596542058006:4537ba15-4f5f-4db4-879a-dfa00436a7e8,1596542058006:5a37b9c0-a914-4d8f-b314-b6f92d209103
5990,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Boolean""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Boolean""",No,1596542058003:77d2cd6f-a481-46e6-a254-3c323111cfff,1596542058003:57ba3f2d-9dfe-4b94-9632-92f3f1e6cd2d
6067,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","pushInput == ""none""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Long""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Long""",No,1596542058002:6238ec54-e3f2-4ffe-af93-e62af69ecd60,1596542058002:9400b279-32d4-48f3-a352-22ecf28c1d60
6199,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Long""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Long""",No,1596542058001:f275d1ac-7285-4601-9ae0-b8b5495a699f,1596542058001:6e3f14c0-39f6-4d20-9d32-988d74d3779c
6200,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542058001:f275d1ac-7285-4601-9ae0-b8b5495a699f,1596542058001:6e3f14c0-39f6-4d20-9d32-988d74d3779c
6575,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","calledMethod == ""push""","pushInput == ""class java.lang.Boolean""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""","pushInput_p == ""class experiment.drivers.AlejaStackTestDriver""",No,1596542057998:e1b6f7c5-61c9-48ea-b358-8b8c3a49545e,1596542057998:548a0afb-92a8-4387-8121-f67796d88c54
6680,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Class""",No,1596542057998:b36fd5a0-9ca7-469d-af29-09f60afd0108,1596542057998:23f3115f-2b05-4c94-aea9-8a0f2da9db47
6694,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""push""","pushInput == ""class java.lang.Class""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Class""",No,1596542057997:b0a82d53-344e-4f58-8f8f-6d929c47a4a9,1596542057998:873758f8-766d-411f-8659-62ed556408b5
6695,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Class""",No,1596542057997:b0a82d53-344e-4f58-8f8f-6d929c47a4a9,1596542057998:873758f8-766d-411f-8659-62ed556408b5
6818,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Double""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Double""",No,1596542057997:6649e8d9-4656-477d-9911-3539b221bfcd,1596542057997:0251884e-d783-4911-9502-72f6a97d3580
7504,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Float""",No,1596542057992:24a39470-042c-49c9-8fba-7ed11a436075,1596542057992:0d5e4215-7f08-490f-9183-039d80286aac
7583,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""5""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""","pushInput_p == ""class experiment.drivers.AlejaStackTestDriver""",No,1596542057991:bce0b286-cc2d-4a06-aa13-d9e8f6cf7233,1596542057991:cad59aa1-78a4-4bef-87b0-dfc584a31b92
7584,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Short""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542057991:bce0b286-cc2d-4a06-aa13-d9e8f6cf7233,1596542057991:cad59aa1-78a4-4bef-87b0-dfc584a31b92
7585,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","pushInput == ""none""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542057991:bce0b286-cc2d-4a06-aa13-d9e8f6cf7233,1596542057991:cad59aa1-78a4-4bef-87b0-dfc584a31b92
7697,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","pushInput == ""none""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Integer""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Integer""",No,1596542057990:6ea5f9f1-5c57-4337-9b68-7ba67c4ec1e5,1596542057990:567aa253-9e73-4471-9c36-648ca8caef10
7863,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","pushInput == ""none""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Double""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Double""",No,1596542057988:49092089-3d84-41d0-ab59-cf725129dc28,1596542057988:935435ad-6665-480c-8d9f-1fac95b7cda7
7886,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","calledMethod == ""push""","pushInput == ""class java.lang.Integer""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""","pushInput_p == ""class experiment.drivers.AlejaStackTestDriver""",No,1596542057988:49092089-3d84-41d0-ab59-cf725129dc28,1596542057988:73b1f3eb-adcb-41b3-a011-57e46093d570
7990,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""","pushInput_p == ""class experiment.drivers.AlejaStackTestDriver""",No,1596542057988:1af09978-ceb8-46f3-89a7-32c4d6dcb4c6,1596542057988:40122733-b3e7-49a0-8a8d-21ab0db4b9be
7991,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","pushInput == ""none""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Double""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542057988:1af09978-ceb8-46f3-89a7-32c4d6dcb4c6,1596542057988:40122733-b3e7-49a0-8a8d-21ab0db4b9be
8160,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","calledMethod == ""push""","pushInput == ""class java.lang.Boolean""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Class""",No,1596542057986:840d870f-a4c8-42cb-ad95-9e0c48922daf,1596542057986:fac50f0b-d27a-43e1-b8a5-53d38dbfd2f8
8161,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""5""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Boolean""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Boolean""",No,1596542057986:840d870f-a4c8-42cb-ad95-9e0c48922daf,1596542057986:fac50f0b-d27a-43e1-b8a5-53d38dbfd2f8
8162,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542057986:840d870f-a4c8-42cb-ad95-9e0c48922daf,1596542057986:fac50f0b-d27a-43e1-b8a5-53d38dbfd2f8
8367,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","pushInput == ""class experiment.drivers.AlejaStackTestDriver""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Class""",No,1596542057985:389b0964-f1c1-44d1-812c-f7b860f9b80c,1596542057985:73eec587-447d-48cc-8c60-2c2974864481
8439,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","pushInput == ""none""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542057984:b75a0a74-5be8-408c-9c8f-e4061b576728,1596542057984:8f2316be-7315-4f17-bd12-80d9e2c612a1
8610,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Character""","calledMethod == ""push""","pushInput == ""class java.lang.Character""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""","pushInput_p == ""class experiment.drivers.AlejaStackTestDriver""",No,1596542057983:0ecd6247-afba-4c16-a93d-f12706445680,1596542057983:7c5ef114-9f34-4102-97df-09eceaf6f74c
8797,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Integer""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Integer""",No,1596542057981:40966c96-2535-47a5-8b51-b70e3215c9a0,1596542057981:dfdfe5a0-2935-4dca-9849-381b4381fe87
9240,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""push""","pushInput == ""class java.lang.Long""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542057978:6a15ed46-f4b1-464c-90de-2db971e741ca,1596542057978:46d2439a-67e6-4290-a773-215a9f9427f5
9692,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Short""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542057973:ab0e1432-acc7-49a8-93f1-c66c12c38fa0,1596542057973:f1968f22-5e06-4ce0-9141-ead75955b923
9986,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","calledMethod == ""push""","pushInput == ""class java.lang.Byte""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""","pushInput_p == ""class experiment.drivers.AlejaStackTestDriver""",No,1596542057972:24fd92c5-6474-416b-b54f-27db72171cfb,1596542057972:4b167aaa-8f50-4bc4-9f28-c64300361288
10030,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""","pushInput_p == ""class experiment.drivers.AlejaStackTestDriver""",No,1596542057971:f96826d6-37ff-45f3-b3eb-47dab22d9f35,1596542057971:e9cda387-547d-43be-9617-f2606aec1fe6
10031,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542057971:f96826d6-37ff-45f3-b3eb-47dab22d9f35,1596542057971:e9cda387-547d-43be-9617-f2606aec1fe6
10763,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","pushInput == ""class experiment.drivers.AlejaStackTestDriver""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Short""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542057964:e99ac585-2b50-4c64-bffe-febe3d9e7c71,1596542057964:9964bd3d-3e1b-4876-a346-8c2deae5c4d5
10985,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","pushInput == ""none""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Integer""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Integer""",No,1596542057962:6fa9a203-c470-44bb-ba56-8c7bb9c87f70,1596542057963:904ef7e9-ed13-4251-b3c2-69d41e7cd53c
11062,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","calledMethod == ""push""","pushInput == ""class java.lang.Boolean""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","calledMethod_p == ""clear""","pushInput_p == ""none""",No,1596542057962:5dad5c54-7c32-4532-86bc-755705d22f5e,1596542057962:6b075d48-b48b-446d-b9b3-6aa9fd0b9766
11063,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Boolean""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Boolean""",No,1596542057962:5dad5c54-7c32-4532-86bc-755705d22f5e,1596542057962:6b075d48-b48b-446d-b9b3-6aa9fd0b9766
11231,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""push""","pushInput == ""class java.lang.Class""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""","pushInput_p == ""class experiment.drivers.AlejaStackTestDriver""",No,1596542057961:cf34434b-d517-46e0-bc2b-6b585305e849,1596542057961:a7c2729f-f7f3-4f9a-a192-6940257c8238
11232,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Class""",No,1596542057961:cf34434b-d517-46e0-bc2b-6b585305e849,1596542057961:a7c2729f-f7f3-4f9a-a192-6940257c8238
11568,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""push""","pushInput == ""class java.lang.Class""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""","pushInput_p == ""class experiment.drivers.AlejaStackTestDriver""",No,1596542057959:79922c04-0e5d-4527-86cf-2ccdd1cb921e,1596542057959:a0334df9-5d4a-4b7e-9096-e248f789fcd8
11569,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""5""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Class""",No,1596542057959:79922c04-0e5d-4527-86cf-2ccdd1cb921e,1596542057959:a0334df9-5d4a-4b7e-9096-e248f789fcd8
11570,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542057959:79922c04-0e5d-4527-86cf-2ccdd1cb921e,1596542057959:a0334df9-5d4a-4b7e-9096-e248f789fcd8
11631,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","pushInput == ""none""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Boolean""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Boolean""",No,1596542057958:ba4ada99-e9b1-4b9b-918e-275f35265dbe,1596542057958:9642a6d7-5b43-4d43-8e27-dc08983b25d0
11835,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","calledMethod == ""push""","pushInput == ""class java.lang.Double""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542057957:762f3797-c455-401f-9d4c-1f6918d75717,1596542057957:7046790f-8a8c-4cd7-b421-791a4407cc7f
11889,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""","pushInput == ""class java.lang.String""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Class""",No,1596542057956:dbd55c29-0864-4be8-b205-30e3e0af493d,1596542057956:31be200e-b011-46a7-8587-863cba499830
11890,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.String""",No,1596542057956:dbd55c29-0864-4be8-b205-30e3e0af493d,1596542057956:31be200e-b011-46a7-8587-863cba499830
11891,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542057956:dbd55c29-0864-4be8-b205-30e3e0af493d,1596542057956:31be200e-b011-46a7-8587-863cba499830
11929,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Byte""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Byte""",No,1596542057956:456209e5-d324-40e2-8c29-702d80d5ffec,1596542057956:e26d1e7b-e1bf-44c4-9137-6f6a4ad58e44
12182,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542057954:8324b5ad-1000-4b35-98a1-bf6b93a39d84,1596542057954:afc0a212-9fb8-4738-bf2c-c5bebc6579eb
12183,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","pushInput == ""none""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542057954:8324b5ad-1000-4b35-98a1-bf6b93a39d84,1596542057954:afc0a212-9fb8-4738-bf2c-c5bebc6579eb
13105,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""","pushInput == ""class java.lang.Float""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""","pushInput_p == ""class experiment.drivers.AlejaStackTestDriver""",No,1596542057946:d2a122d0-688d-4423-8601-89e622054af1,1596542057946:c9d6fe35-31af-4ba6-bc94-26103990c65f
14347,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","pushInput == ""none""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Float""",No,1596542057933:eec68e2f-0c00-4b3b-895e-5a8812b5a7e3,1596542057935:4ac92ad0-79f8-418c-abdc-5e058c58b785
14628,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","pushInput == ""none""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Byte""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542057931:aa86fed3-9f79-4f38-b866-d7b09de21baa,1596542057931:7323c976-fbf9-4dd0-b429-9d138ed418a5
14784,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""","pushInput == ""class java.lang.Float""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""","pushInput_p == ""class experiment.drivers.AlejaStackTestDriver""",No,1596542057930:a87fd341-f132-4602-ab61-f781a1eacfd5,1596542057931:9ceb46d9-58a5-45fb-9ee9-ef90ced56c70
14785,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Float""",No,1596542057930:a87fd341-f132-4602-ab61-f781a1eacfd5,1596542057931:9ceb46d9-58a5-45fb-9ee9-ef90ced56c70
15122,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""push""","pushInput == ""class java.lang.Class""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Float""",No,1596542057927:eee04299-f75c-4693-a14a-6a87626b02d9,1596542057928:27bbc2a8-46c9-4759-9d8d-582d72e9cf3c
15604,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","calledMethod == ""push""","pushInput == ""class java.lang.Byte""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Double""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542057924:c4e841f5-cae1-4370-85cf-e87ee1f38aca,1596542057924:491566ca-44a3-4329-8d61-b19d1915eef5
15605,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","pushInput == ""none""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Byte""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Byte""",No,1596542057924:c4e841f5-cae1-4370-85cf-e87ee1f38aca,1596542057924:491566ca-44a3-4329-8d61-b19d1915eef5
16116,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","pushInput == ""class experiment.drivers.AlejaStackTestDriver""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542057920:bbff1189-9e7e-473b-8581-b8b44079ba90,1596542057920:4951eecf-c051-405a-a7c8-22884c8c0916
17312,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""push""","pushInput == ""class java.lang.Long""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""","pushInput_p == ""class experiment.drivers.AlejaStackTestDriver""",No,1596542057911:68a7a4f7-a5b9-4de1-b80d-14e4cee93b1f,1596542057911:8c0d0737-3c9d-4b33-9904-f04b84608743
17313,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","pushInput == ""none""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Long""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Long""",No,1596542057911:68a7a4f7-a5b9-4de1-b80d-14e4cee93b1f,1596542057911:8c0d0737-3c9d-4b33-9904-f04b84608743
17401,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""pop""","pushInput_p == ""none""",No,1596542057910:3135f78c-7488-473a-83dd-833a19225952,1596542057911:f4563d5a-6728-4628-bf15-e0c3172cdfaa
17599,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","calledMethod == ""push""","pushInput == ""class java.lang.Boolean""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Float""",No,1596542057908:baf9b757-52b0-434a-be5f-680446b8f7ac,1596542057908:4e94c7fa-7888-42a2-a130-a4a92306f016
17719,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Object""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Object""",No,1596542057907:699d808c-2e86-4075-85ce-566b549d46d9,1596542057907:ad7d28af-21ea-4859-84a2-0252ac0166ed
18537,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""push""","pushInput == ""class java.lang.Class""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Long""","calledMethod_p == ""push""","pushInput_p == ""class java.lang.Long""",No,1596542057901:10e11d91-f93b-486a-be62-23bd8c9301d4,1596542057901:e70a856b-8636-45ad-aae6-2c57696a65ce
