,size,isEmpty,peek_obj_type,calledMethod,size_p,isEmpty_p,peek_obj_type_p,calledMethod_p,diff,testId,instanceId
6206,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""pop""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Byte""","calledMethod_p == ""push""",No,1597052894981:a90b1270-b01c-49ed-81a1-36428ceb7bc6,1597052894981:6e5a2dbc-5e18-4739-9fd1-def79281485e
6435,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""",Yes,1597052894979:705dfbb4-30cc-42df-b832-497923aab742,1597052894979:99228921-ed2d-4a1e-902d-2bad3595df8b
7596,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""pop""",No,1597052894965:bd5fe677-2ae1-48a2-8477-eeca295f5c96,1597052894965:f4e59c0e-ad9b-4561-9870-2d6c5047ea6f
7737,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""",No,1597052894964:07be4bf3-2468-4f99-851a-2d06f702fe2b,1597052894964:6b209198-efa6-4f8a-a3d2-f3a94d6f983e
7907,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","calledMethod == ""push""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""pop""",Yes,1597052894962:e23b931d-90d5-4524-9de9-52dbccb00ab7,1597052894962:5fa1af66-e598-4a4b-8d3e-8621cffca17b
8596,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""push""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","calledMethod_p == ""pop""",No,1597052894953:810faecb-37f5-4d20-b3e2-ac07c207936a,1597052894953:3e13e17d-f3df-4e4c-b3cf-140183b6b3c4
9258,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Long""","calledMethod_p == ""push""",No,1597052894945:a115f1f2-e650-4c43-ae0d-f7c9573381a6,1597052894945:d4312286-8a93-4fd0-b7c0-13eb79527115
9281,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Object""","calledMethod == ""push""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","calledMethod_p == ""clear""",No,1597052894945:9c954621-cf2c-4e25-8471-6eefdc0e29a8,1597052894946:1b8ed100-c496-4c48-b2e5-f16b96f480d5
9282,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""pop""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Object""","calledMethod_p == ""push""",No,1597052894945:9c954621-cf2c-4e25-8471-6eefdc0e29a8,1597052894946:1b8ed100-c496-4c48-b2e5-f16b96f480d5
13440,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Boolean""","calledMethod_p == ""pop""",Yes,1597052894895:6f9d36b5-9fe4-4915-a943-747b20709a14,1597052894895:c6bbfc7a-fc82-47de-a5c8-5f6710e30bad
13792,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Boolean""","calledMethod_p == ""push""",No,1597052894891:91f0779d-8d2f-4480-a28f-4d6d7867b5ad,1597052894891:15d7dfad-a333-4abb-90ea-e945c416cc6c
14454,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","calledMethod == ""pop""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Boolean""","calledMethod_p == ""push""",Yes,1597052894883:89dde5bf-c436-4dac-8dac-b63291a35b23,1597052894883:001a6243-c358-4255-ae13-9291f6fd141b
15542,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Double""","calledMethod_p == ""push""",No,1597052894866:fa8930f2-0760-41be-839f-7dbf2cae3c9f,1597052894866:c8913612-c905-4d71-98f4-e0ace4bce543
16608,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Long""","calledMethod_p == ""push""",No,1597052894854:7f843b30-b6ea-4daf-a8a7-97ecae5fd937,1597052894854:9c78b4e8-ab94-4f0b-923f-d207abbb32dc
16621,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","calledMethod == ""push""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","calledMethod_p == ""clear""",No,1597052894854:23a677c8-2d2b-4fed-b3cf-8d898d8f26ff,1597052894854:7344afcc-6c4d-4c3e-bd23-71374905b37f
17400,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","calledMethod == ""push""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","calledMethod_p == ""clear""",No,1597052894844:ec892cdd-45dc-457d-b21d-9cc4ed34fc54,1597052894844:ffd84c0e-1bd3-42d1-9e8c-79b6c5089f55
17421,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Boolean""","calledMethod_p == ""push""",No,1597052894844:ec892cdd-45dc-457d-b21d-9cc4ed34fc54,1597052894844:ba2d58a9-bd9f-484d-96fa-3235b5419317
17867,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""push""",Yes,1597052894839:69bc8a7d-3107-4eae-9769-be0f03bca3bf,1597052894839:35317e12-fbb6-4b93-bc9d-b5dc5027640c
20352,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","calledMethod_p == ""push""",No,1597052894810:c9516d66-324f-4d09-94fa-81582dc1813a,1597052894810:c6b3ebbb-7188-41a2-b12a-8ddd6f76886f
21394,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Double""","calledMethod_p == ""pop""",Yes,1597052894798:2e8c7601-3dab-42c5-8c7a-a495bf089183,1597052894798:67a67d52-bad9-42ac-9e44-c75f2820be0a
22394,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""pop""",Yes,1597052894786:cc7ca69b-c534-4f2e-ad4e-1f22ab0fe798,1597052894786:5b9e48ae-6876-41f7-9284-5bf9421a2795
34511,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","calledMethod == ""push""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","calledMethod_p == ""clear""",No,1597052894590:fb759cf9-fdc5-4663-a70b-f90ae6e4c39e,1597052894590:d10bc436-5d86-4ae1-a03e-18f291a582b2
34522,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","calledMethod == ""pop""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Long""","calledMethod_p == ""push""",Yes,1597052894590:fb759cf9-fdc5-4663-a70b-f90ae6e4c39e,1597052894590:0431383c-150d-4b89-bfc1-73a26f5ae012
34737,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","calledMethod_p == ""push""",No,1597052894579:bae816b2-2ea3-45f7-8cf6-59ed62f8b3ef,1597052894579:a6a987f2-3670-4169-9c14-bf3ea10eb5fa
34772,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Object""","calledMethod_p == ""push""",No,1597052894579:6cb9c621-8beb-4d8e-8765-220e7a82d271,1597052894579:7ca3b068-56f6-429b-b70b-0716c879d69d
36083,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","calledMethod == ""push""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","calledMethod_p == ""clear""",No,1597052894540:a00b2481-322c-4b7d-984c-fe0e4f6b4a11,1597052894541:6dbb6df6-7c9b-4a0f-b6f9-ff53ba4d8b20
44048,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""clear""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Short""","calledMethod_p == ""push""",No,1597052894308:64a47a35-a1e3-477f-a0a6-2ece0d3792c4,1597052894308:1847d9da-4032-46fa-8029-bf9dff698d42
46145,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","calledMethod == ""pop""",x,x,x,x,No,1597052894224:9b1328da-e9a6-4ba9-a75d-ba72d87df9ad,1597052894224:058aded9-7712-4e87-b7a2-d5af812bdfde
